5 0 1 0.262375 2.09862 0 56.5625 308325 13078 1500 false
5 1 2 1.49554 11.9633 0 390.281 304796 1667 1500 false
5 2 3 11.9885 95.9114 0 3122.25 364213 2791 1500 false
5 3 4 11.25 90.0126 0 12730.8 608797 9955 1500 false
5 4 5 10 80.0019 0 12730.8 725004 783 1500 false
5 5 6 11.25 89.9986 0 12730.8 731895 454 1500 false
5 6 7 11.25 90.004 0 12730.8 728618 247 1500 false
5 7 8 11.25 89.9977 0 12730.8 715257 280 1500 false
5 8 9 11.25 89.997 0 12730.8 715523 133 1500 false
5 9 10 11.25 90.0014 0 12730.8 713602 926 1500 false
